Epoch:0| Running_reward:-637.589| EP_reward:-403.948| Memory_length:100| Duration:229.767| Actor_Loss:2.555| Critic_Loss:1.026| Success rate:0.000| 5.9/31.1 GB RAM
Epoch:1| Running_reward:-458.564| EP_reward:-377.383| Memory_length:200| Duration:229.576| Actor_Loss:2.945| Critic_Loss:0.272| Success rate:0.000| 6.1/31.1 GB RAM
Epoch:2| Running_reward:-449.634| EP_reward:-435.877| Memory_length:300| Duration:228.931| Actor_Loss:3.126| Critic_Loss:0.044| Success rate:0.000| 6.4/31.1 GB RAM
Epoch:3| Running_reward:-418.365| EP_reward:-396.727| Memory_length:400| Duration:229.126| Actor_Loss:2.572| Critic_Loss:0.123| Success rate:0.000| 6.7/31.1 GB RAM
Epoch:4| Running_reward:-422.206| EP_reward:-364.846| Memory_length:500| Duration:229.590| Actor_Loss:3.078| Critic_Loss:0.017| Success rate:0.000| 6.9/31.1 GB RAM
Epoch:5| Running_reward:-412.390| EP_reward:-411.886| Memory_length:600| Duration:229.117| Actor_Loss:3.339| Critic_Loss:0.024| Success rate:0.000| 7.2/31.1 GB RAM
Epoch:6| Running_reward:-512.676| EP_reward:-393.972| Memory_length:700| Duration:228.918| Actor_Loss:3.214| Critic_Loss:0.015| Success rate:0.000| 7.4/31.1 GB RAM
Epoch:7| Running_reward:-416.622| EP_reward:-413.583| Memory_length:800| Duration:229.167| Actor_Loss:3.929| Critic_Loss:0.043| Success rate:0.000| 7.7/31.1 GB RAM
Epoch:8| Running_reward:-488.157| EP_reward:-406.385| Memory_length:900| Duration:229.671| Actor_Loss:4.076| Critic_Loss:0.006| Success rate:0.000| 8.0/31.1 GB RAM
Epoch:9| Running_reward:-443.555| EP_reward:-439.697| Memory_length:1000| Duration:229.696| Actor_Loss:3.256| Critic_Loss:0.019| Success rate:0.000| 8.2/31.1 GB RAM
Epoch:10| Running_reward:-429.737| EP_reward:-397.455| Memory_length:1100| Duration:229.841| Actor_Loss:4.207| Critic_Loss:0.085| Success rate:0.000| 8.5/31.1 GB RAM
Epoch:11| Running_reward:-420.977| EP_reward:-426.975| Memory_length:1200| Duration:230.526| Actor_Loss:4.688| Critic_Loss:0.040| Success rate:0.000| 8.8/31.1 GB RAM
Epoch:12| Running_reward:-426.913| EP_reward:-422.183| Memory_length:1300| Duration:230.963| Actor_Loss:3.970| Critic_Loss:0.011| Success rate:0.000| 9.0/31.1 GB RAM
Epoch:13| Running_reward:-414.926| EP_reward:-424.769| Memory_length:1400| Duration:231.249| Actor_Loss:4.038| Critic_Loss:0.041| Success rate:0.000| 9.3/31.1 GB RAM
Epoch:14| Running_reward:-423.100| EP_reward:-417.774| Memory_length:1500| Duration:231.286| Actor_Loss:3.654| Critic_Loss:0.002| Success rate:0.000| 9.5/31.1 GB RAM
Epoch:15| Running_reward:-428.480| EP_reward:-427.055| Memory_length:1600| Duration:231.406| Actor_Loss:4.422| Critic_Loss:0.007| Success rate:0.000| 9.8/31.1 GB RAM
Epoch:16| Running_reward:-421.996| EP_reward:-424.985| Memory_length:1700| Duration:231.462| Actor_Loss:4.703| Critic_Loss:0.005| Success rate:0.000| 10.1/31.1 GB RAM
Epoch:17| Running_reward:-426.516| EP_reward:-426.537| Memory_length:1800| Duration:223.368| Actor_Loss:4.154| Critic_Loss:0.002| Success rate:0.000| 10.6/31.1 GB RAM
Epoch:18| Running_reward:-418.406| EP_reward:-414.161| Memory_length:1900| Duration:220.706| Actor_Loss:3.764| Critic_Loss:0.001| Success rate:0.000| 10.8/31.1 GB RAM
Epoch:19| Running_reward:-426.943| EP_reward:-431.584| Memory_length:2000| Duration:221.230| Actor_Loss:5.027| Critic_Loss:0.002| Success rate:0.000| 11.1/31.1 GB RAM
Epoch:20| Running_reward:-422.754| EP_reward:-422.767| Memory_length:2100| Duration:221.988| Actor_Loss:5.305| Critic_Loss:0.005| Success rate:0.000| 11.4/31.1 GB RAM
Epoch:21| Running_reward:-426.844| EP_reward:-436.720| Memory_length:2200| Duration:221.998| Actor_Loss:4.891| Critic_Loss:0.017| Success rate:0.000| 11.7/31.1 GB RAM
Epoch:22| Running_reward:-422.914| EP_reward:-416.314| Memory_length:2300| Duration:221.450| Actor_Loss:4.133| Critic_Loss:0.002| Success rate:0.000| 11.9/31.1 GB RAM
Epoch:23| Running_reward:-430.220| EP_reward:-409.420| Memory_length:2400| Duration:221.282| Actor_Loss:3.220| Critic_Loss:0.028| Success rate:0.000| 12.2/31.1 GB RAM
Epoch:24| Running_reward:-411.031| EP_reward:-418.613| Memory_length:2500| Duration:222.084| Actor_Loss:4.226| Critic_Loss:0.141| Success rate:0.000| 12.4/31.1 GB RAM
Epoch:25| Running_reward:-421.722| EP_reward:-422.950| Memory_length:2600| Duration:222.103| Actor_Loss:3.793| Critic_Loss:0.021| Success rate:0.000| 12.7/31.1 GB RAM
Epoch:26| Running_reward:-424.006| EP_reward:-420.927| Memory_length:2700| Duration:222.054| Actor_Loss:4.135| Critic_Loss:0.004| Success rate:0.000| 13.0/31.1 GB RAM
Epoch:27| Running_reward:-422.480| EP_reward:-405.816| Memory_length:2800| Duration:221.901| Actor_Loss:4.440| Critic_Loss:0.002| Success rate:0.000| 13.2/31.1 GB RAM
Epoch:28| Running_reward:-423.236| EP_reward:-421.253| Memory_length:2900| Duration:221.989| Actor_Loss:4.126| Critic_Loss:0.004| Success rate:0.000| 13.5/31.1 GB RAM
Epoch:29| Running_reward:-424.192| EP_reward:-420.046| Memory_length:3000| Duration:222.309| Actor_Loss:4.548| Critic_Loss:0.009| Success rate:0.000| 13.8/31.1 GB RAM
Epoch:30| Running_reward:-424.544| EP_reward:-422.230| Memory_length:3100| Duration:221.609| Actor_Loss:5.047| Critic_Loss:0.002| Success rate:0.000| 14.0/31.1 GB RAM
Epoch:31| Running_reward:-422.975| EP_reward:-403.967| Memory_length:3200| Duration:222.662| Actor_Loss:5.342| Critic_Loss:0.008| Success rate:0.000| 14.3/31.1 GB RAM
Epoch:32| Running_reward:-423.768| EP_reward:-421.329| Memory_length:3300| Duration:222.774| Actor_Loss:5.124| Critic_Loss:0.003| Success rate:0.000| 14.5/31.1 GB RAM
Epoch:33| Running_reward:-418.995| EP_reward:-423.967| Memory_length:3400| Duration:222.831| Actor_Loss:3.958| Critic_Loss:0.005| Success rate:0.000| 14.8/31.1 GB RAM
Epoch:34| Running_reward:-420.110| EP_reward:-423.903| Memory_length:3500| Duration:223.337| Actor_Loss:3.760| Critic_Loss:0.002| Success rate:0.000| 15.1/31.1 GB RAM
Epoch:35| Running_reward:-424.555| EP_reward:-420.054| Memory_length:3600| Duration:223.247| Actor_Loss:4.235| Critic_Loss:0.004| Success rate:0.000| 15.3/31.1 GB RAM
Epoch:36| Running_reward:-417.698| EP_reward:-422.703| Memory_length:3700| Duration:223.486| Actor_Loss:3.903| Critic_Loss:0.009| Success rate:0.000| 15.6/31.1 GB RAM
Epoch:37| Running_reward:-424.282| EP_reward:-403.611| Memory_length:3800| Duration:224.352| Actor_Loss:4.801| Critic_Loss:0.003| Success rate:0.000| 15.8/31.1 GB RAM
Epoch:38| Running_reward:-425.644| EP_reward:-424.405| Memory_length:3900| Duration:223.861| Actor_Loss:4.566| Critic_Loss:0.002| Success rate:0.000| 16.1/31.1 GB RAM
Epoch:39| Running_reward:-417.040| EP_reward:-422.752| Memory_length:4000| Duration:224.790| Actor_Loss:4.400| Critic_Loss:0.001| Success rate:0.000| 16.4/31.1 GB RAM
Epoch:40| Running_reward:-424.333| EP_reward:-422.508| Memory_length:4100| Duration:225.108| Actor_Loss:4.288| Critic_Loss:0.001| Success rate:0.000| 16.6/31.1 GB RAM
Epoch:41| Running_reward:-411.027| EP_reward:-419.220| Memory_length:4200| Duration:225.232| Actor_Loss:5.924| Critic_Loss:0.005| Success rate:0.000| 16.9/31.1 GB RAM
Epoch:42| Running_reward:-417.649| EP_reward:-411.087| Memory_length:4300| Duration:226.112| Actor_Loss:4.886| Critic_Loss:0.002| Success rate:0.000| 17.1/31.1 GB RAM
Epoch:43| Running_reward:-421.285| EP_reward:-420.020| Memory_length:4400| Duration:225.365| Actor_Loss:4.227| Critic_Loss:0.001| Success rate:0.000| 17.4/31.1 GB RAM
Epoch:44| Running_reward:-424.197| EP_reward:-424.322| Memory_length:4500| Duration:226.958| Actor_Loss:3.843| Critic_Loss:0.002| Success rate:0.000| 17.7/31.1 GB RAM
Epoch:45| Running_reward:-419.560| EP_reward:-422.688| Memory_length:4600| Duration:225.507| Actor_Loss:5.208| Critic_Loss:0.002| Success rate:0.000| 17.9/31.1 GB RAM
Epoch:46| Running_reward:-423.046| EP_reward:-423.280| Memory_length:4700| Duration:226.729| Actor_Loss:5.058| Critic_Loss:0.002| Success rate:0.000| 18.2/31.1 GB RAM
Epoch:47| Running_reward:-425.144| EP_reward:-425.436| Memory_length:4800| Duration:228.609| Actor_Loss:4.522| Critic_Loss:0.001| Success rate:0.000| 18.5/31.1 GB RAM
Epoch:48| Running_reward:-424.257| EP_reward:-424.214| Memory_length:4900| Duration:228.480| Actor_Loss:3.985| Critic_Loss:0.001| Success rate:0.000| 18.7/31.1 GB RAM
Epoch:49| Running_reward:-419.188| EP_reward:-412.002| Memory_length:5000| Duration:228.403| Actor_Loss:4.603| Critic_Loss:0.002| Success rate:0.000| 19.0/31.1 GB RAM
Epoch:50| Running_reward:-422.633| EP_reward:-422.658| Memory_length:5100| Duration:228.363| Actor_Loss:4.682| Critic_Loss:0.001| Success rate:0.000| 19.2/31.1 GB RAM
Epoch:51| Running_reward:-424.006| EP_reward:-420.662| Memory_length:5200| Duration:228.719| Actor_Loss:4.091| Critic_Loss:0.002| Success rate:0.000| 19.5/31.1 GB RAM
Epoch:52| Running_reward:-408.912| EP_reward:-421.320| Memory_length:5300| Duration:229.512| Actor_Loss:3.976| Critic_Loss:0.002| Success rate:0.000| 19.7/31.1 GB RAM
Epoch:53| Running_reward:-420.724| EP_reward:-423.685| Memory_length:5400| Duration:228.209| Actor_Loss:4.697| Critic_Loss:0.001| Success rate:0.000| 20.0/31.1 GB RAM
Epoch:54| Running_reward:-422.044| EP_reward:-425.905| Memory_length:5500| Duration:229.301| Actor_Loss:4.595| Critic_Loss:0.003| Success rate:0.000| 20.3/31.1 GB RAM
Epoch:55| Running_reward:-424.478| EP_reward:-424.224| Memory_length:5600| Duration:230.288| Actor_Loss:4.559| Critic_Loss:0.001| Success rate:0.000| 20.5/31.1 GB RAM
Epoch:56| Running_reward:-415.183| EP_reward:-415.734| Memory_length:5700| Duration:229.032| Actor_Loss:4.472| Critic_Loss:0.030| Success rate:0.000| 20.7/31.1 GB RAM
Epoch:57| Running_reward:-412.650| EP_reward:-424.934| Memory_length:5800| Duration:229.425| Actor_Loss:5.031| Critic_Loss:0.001| Success rate:0.000| 21.0/31.1 GB RAM
Epoch:58| Running_reward:-423.153| EP_reward:-419.084| Memory_length:5900| Duration:230.152| Actor_Loss:4.463| Critic_Loss:0.002| Success rate:0.000| 21.3/31.1 GB RAM
Epoch:59| Running_reward:-414.181| EP_reward:-422.881| Memory_length:6000| Duration:231.403| Actor_Loss:3.490| Critic_Loss:0.000| Success rate:0.000| 21.5/31.1 GB RAM
Epoch:60| Running_reward:-405.365| EP_reward:-424.858| Memory_length:6100| Duration:230.238| Actor_Loss:4.251| Critic_Loss:0.002| Success rate:0.000| 21.8/31.1 GB RAM
Epoch:61| Running_reward:-423.609| EP_reward:-418.817| Memory_length:6200| Duration:230.124| Actor_Loss:4.350| Critic_Loss:0.001| Success rate:0.000| 22.0/31.1 GB RAM
