^C^C(safe_env3) limyeeun@limyeeun-MS-7D42:~/src/safety-gymnasium-main/DDPG-HER-master$ mpirun -np 1 python3 -u main.py 
Creating offscreen glfw
Epoch:0| Running_reward:-2143.907| EP_reward:-2198.197| Memory_length:100| Duration:272.705| Actor_Loss:2.188| Critic_Loss:0.055| Success rate:0.000| 3.6/31.1 GB RAM
Epoch:1| Running_reward:-1895.895| EP_reward:-2183.632| Memory_length:200| Duration:275.526| Actor_Loss:3.005| Critic_Loss:0.053| Success rate:0.000| 3.3/31.1 GB RAM
Epoch:2| Running_reward:-1430.493| EP_reward:-2120.743| Memory_length:300| Duration:273.726| Actor_Loss:3.480| Critic_Loss:0.030| Success rate:0.000| 3.5/31.1 GB RAM
Epoch:3| Running_reward:-1437.152| EP_reward:-1890.744| Memory_length:400| Duration:272.953| Actor_Loss:4.224| Critic_Loss:0.037| Success rate:0.000| 3.4/31.1 GB RAM
Epoch:4| Running_reward:-1879.908| EP_reward:-2059.142| Memory_length:500| Duration:274.314| Actor_Loss:4.949| Critic_Loss:0.016| Success rate:0.000| 3.5/31.1 GB RAM
Epoch:5| Running_reward:-1394.854| EP_reward:-1890.420| Memory_length:600| Duration:274.512| Actor_Loss:5.234| Critic_Loss:0.009| Success rate:0.000| 3.6/31.1 GB RAM
Epoch:6| Running_reward:-1408.360| EP_reward:-1401.775| Memory_length:700| Duration:272.391| Actor_Loss:5.742| Critic_Loss:0.016| Success rate:0.000| 3.7/31.1 GB RAM
Epoch:7| Running_reward:-1404.307| EP_reward:-1771.035| Memory_length:800| Duration:272.629| Actor_Loss:6.894| Critic_Loss:0.005| Success rate:0.000| 3.8/31.1 GB RAM
Epoch:8| Running_reward:-1750.406| EP_reward:-1373.035| Memory_length:900| Duration:276.425| Actor_Loss:7.357| Critic_Loss:0.025| Success rate:0.000| 4.0/31.1 GB RAM
Epoch:9| Running_reward:-1725.021| EP_reward:-2143.839| Memory_length:1000| Duration:274.360| Actor_Loss:7.773| Critic_Loss:0.013| Success rate:0.000| 4.3/31.1 GB RAM
Epoch:10| Running_reward:-1760.174| EP_reward:-2202.662| Memory_length:1100| Duration:276.989| Actor_Loss:8.775| Critic_Loss:0.009| Success rate:0.000| 4.6/31.1 GB RAM
